122112;1
221121;2
211212;2
212222;2
122222;1
222211;2
222112;2
211221;2
121220;1
111122;2
111222;1
112221;1
221111;1
111111;1
111112;1
111211;2
112112;2
211221;2
112212;2
211112;2
212122;1
212212;2
122122;1
122111;1
221111;1
112212;2
212221;2
122212;2
212221;2
122212;2
212221;2
222121;1
221211;1
212111;2
121112;2
211122;1
111221;1
112211;2
211221;2
122120;1
211121;1
112111;2
121112;2
221121;2
211212;2
212222;2
222210;2
211211;2
112112;2
121122;2
112221;1
122222;1
111211;2
121121;2
121212;1
121212;1
212121;1
121211;1
212111;2
121212;1
212121;1
212110;2
122210;2
122222;1
222211;2
222112;2
221122;2
122221;1
221110;1
112111;2
211121;1
111211;2
211211;2
112112;2
112222;1
122221;1
222111;2
221112;1
111212;2
121222;1
222111;2
211122;1
122121;1
121120;2
112222;1
122221;1
211112;2
112212;2
122211;2
222112;2
211221;2
122121;1
221211;1
121222;1
222111;2
211120;1
212110;2
222112;2
221122;2
222121;1
221211;1
212111;2
111210;2
222221;2
222212;2
222122;1
212211;2
122112;1
112111;2
121112;2
212120;1
112222;1
222212;2
221222;2
221212;1
212121;1
121120;2
211212;2
112122;1
121221;1
221112;1
111212;2
112122;1
121221;1
212211;2
221122;2
112221;1
222111;2
211122;1
111221;1
221112;1
112121;1
212112;2
121122;2
112221;1
222111;2
221112;1
111212;2
112122;1
212212;2
122211;2
221121;2
211212;2
112122;1
212212;2
112222;1
221210;1
122221;1
222211;2
222112;2
112211;2
221112;1
211121;1
112111;2
112222;1
122221;1
222211;2
222112;2
211221;2
112212;2
122122;1
221221;2
212212;2
221111;1
211111;2
111112;1
112111;2
121112;2
112222;1
222212;2
221222;2
222212;2
222122;1
212211;2
122112;1
221121;2
211212;2
112122;1
121221;1
122111;1
221111;1
111111;1
111111;1
111111;1
111111;1
111111;1
111111;1
111111;1
111111;1
111112;1
111121;2
111212;2
112122;1
212212;2
122122;1
221221;2
122121;1
222222;2
222222;2
222221;2
222212;2
222122;1
221221;2
222120;1
122212;2
221222;2
222121;1
211211;2
112112;2
121122;2
122212;2
222122;1
211120;1
111222;1
222121;1
221211;1
212111;2
121112;2
211122;1
111221;1
122111;1
111121;2
222222;2
122222;1
222221;2
222212;2
122211;2
221121;2
121212;1
121212;1
121212;1
212222;2
222211;2
211211;2
121121;2
211212;2
212222;2
111111;1
111221;1
211211;2
112112;2
121122;2
112221;1
221111;1
111110;1
212122;1
121221;1
212211;2
122112;1
221121;2
112121;1
121211;1
212111;2
111212;2
112122;1
121221;1
212211;2
122112;1
211211;2
112112;2
112111;2
111212;2
212222;2
122222;1
222221;2
222212;2
222122;1
122110;1
212122;1
212212;2
221222;2
222121;1
212112;2
121122;2
211222;2
112222;1
122221;1
222211;2
221121;2
211212;2
121222;1
221111;1
211111;2
111112;1
111121;2
121212;1
121222;1
212221;2
122212;2
222122;1
221221;2
221212;1
211112;2
122121;1
221211;1
212111;2
121112;2
211122;1
111221;1
112211;2
211221;2
112212;2
212221;2
222121;1
121121;2
211212;2
121222;1
212221;2
122112;1
211111;2
111112;1
111111;1
111112;1
111121;2
112121;1
212112;2
112211;2
221122;2
122212;2
221222;2
212222;2
122222;1
222221;2
222212;2
222122;1
212211;2
221122;2
222121;1
121121;2
112121;1
121211;1
212111;2
121112;2
211122;1
221212;1
212121;1
121211;1
211111;2
111122;2
111222;1
112221;1
122211;2
222112;2
111112;1
111211;2
112112;2
121122;2
122212;2
222122;1
212211;2
221122;2
211222;2
122222;1
222221;2
222121;1
212112;2
211122;1
111221;1
112211;2
221122;2
112221;1
222111;2
211122;1
122121;1
211211;2
121121;2
121212;1
212121;1
212112;2
221112;1
211121;1
121111;2
211112;2
111122;2
111222;1
122212;2
222122;1
221221;2
212212;2
222111;2
221112;1
211121;1
111211;2
222211;2
222112;2
112210;2
122221;1
222211;2
211211;2
112112;2
112211;2
211221;2
122121;1
221211;1
211212;2
112122;1
212210;2
211220;2
112111;2
121112;2
211122;1
112212;2
221222;2
212222;2
222222;2
222111;2
221112;1
121212;1
212121;1
211211;2
112112;2
121122;2
222212;2
221222;2
122220;1
121121;2
121212;1
121212;1
121212;1
122221;1
222211;2
211210;2
212122;1
121221;1
122111;1
221111;1
211111;2
112212;2
122211;2
211211;2
112112;2
121122;2
221212;1
212121;1
212112;2
121122;2
112221;1
122211;2
222112;2
221122;2
122212;2
222122;1
221221;2
212212;2
122122;1
211122;1
111221;1
112211;2
112210;2
222122;1
122111;1
221111;1
211111;2
111122;2
221122;2
112221;1
122211;2
211211;2
112111;2
111212;2
112122;1
221210;1
111111;1
111112;1
111121;2
111212;2
121220;1
211212;2
112122;1
121221;1
211122;1
111221;1
122111;1
211112;2
111122;2
111222;1
222121;1
221211;1
111111;1
111111;1
111111;1
111111;1
111111;1
111110;1
111110;1
111220;1
111122;2
111222;1
112221;1
122211;2
112111;2
211121;1
112111;2
121112;2
111220;1
111112;1
121111;2
112212;2
221222;2
122221;1
221111;1
211111;2
112212;2
122110;1
111211;2
112112;2
211221;2
122121;1
212112;2
211221;2
221212;1
212120;1
121220;1
112221;1
222111;2
221112;1
211121;1
111211;2
112112;2
121122;2
211222;2
122222;1
221111;1
211111;2
111122;2
112222;1
122221;1
222211;2
222112;2
221112;1
112121;1
121121;2
112120;1
112222;1
122221;1
222110;2
221211;1
212111;2
121112;2
211122;1
112212;2
212221;2
122212;2
222122;1
212211;2
122112;1
221121;2
112121;1
121121;2
211212;2
121222;1
221111;1
111221;1
112211;2
221122;2
112220;1
112222;1
222212;2
122221;1
211112;2
111122;2
111222;1
122212;2
221222;2
212222;2
222222;2
222111;2
221112;1
211121;1
111211;2
211211;2
211211;2
112111;2
121112;2
211122;1
111221;1
221112;1
111212;2
122221;1
222211;2
221120;2
211212;2
122220;1
122221;1
222211;2
222112;2
211220;2
212120;1
121212;1
121212;1
121212;1
212121;1
211211;2
112112;2
122111;1
111211;2
112112;2
111221;1
111222;1
212112;2
211221;2
112212;2
122122;1
221221;2
212212;2
221222;2
212222;2
222211;2
222112;2
112211;2
211221;2
122121;1
212110;2
111211;2
112110;2
111111;1
111111;1
111111;1
111111;1
212221;2
122212;2
222122;1
221221;2
122120;1
121222;1
212221;2
221212;1
121212;1
212121;1
121211;1
121111;2
111120;2
211211;2
211211;2
121121;2
211212;2
112122;1
121221;1
212211;2
211221;2
112212;2
221222;2
212222;2
222220;2
211112;2
121222;1
122210;2
112222;1
122221;1
222211;2
221121;2
121212;1
121212;1
212121;1
121211;1
212111;2
121112;2
211122;1
111221;1
122110;1
221122;2
122212;2
122211;2
221121;2
112121;1
121121;2
211212;2
222212;2
221220;2
122120;1
121211;1
212111;2
121112;2
211122;1
111221;1
112211;2
122112;1
221121;2
211212;2
112122;1
121221;1
212211;2
221122;2
112221;1
122211;2
222112;2
221122;2
211222;2
222222;2
222221;2
222212;2
222122;1
221221;2
122120;1
121221;1
212211;2
122112;1
121221;1
212211;2
122112;1
211211;2
112112;2
112211;2
122112;1
221121;2
112121;1
212112;2
121122;2
211222;2
222222;2
222222;2
111221;1
122111;1
221111;1
111111;1
111110;1
212122;1
121221;1
212211;2
221122;2
211222;2
112222;1
222212;2
222122;1
221221;2
212212;2
112212;2
122122;1
221221;2
212212;2
221222;2
212222;2
122222;1
222221;2
222212;2
221221;2
122121;1
221211;1
212111;2
121112;2
111222;1
112221;1
122211;2
222112;2
221122;2
211222;2
221110;1
122212;2
222122;1
212211;2
221122;2
212122;1
121221;1
122111;1
221111;1
211111;2
111221;1
112211;2
122112;1
211211;2
112112;2
121122;2
211222;2
112222;1
222212;2
221220;2
211122;1
121220;1
112111;2
121112;2
211122;1
111221;1
112211;2
122112;1
221121;2
211212;2
112122;1
212212;2
122122;1
221221;2
122121;1
121121;2
112211;2
122112;1
121111;2
111121;2
111212;2
112122;1
121221;1
212211;2
111221;1
112211;2
211221;2
112212;2
122122;1
122111;1
111121;2
111212;2
112122;1
212122;1
121221;1
211120;1
211121;1
111211;2
221222;2
122221;1
222211;2
222112;2
211221;2
221212;1
212222;2
222211;2
222112;2
221122;2
112221;1
122211;2
221121;2
211212;2
121222;1
212221;2
222121;1
121120;2
212221;2
122212;2
222122;1
221221;2
221210;1
222112;2
221122;2
211222;2
222221;2
222121;1
212112;2
121122;2
222121;1
122122;1
212211;2
221122;2
122212;2
122210;2
222111;2
221112;1
212122;1
221210;1
221111;1
111122;2
112220;1
121211;1
121111;2
111120;2
222221;2
222212;2
121221;1
122111;1
112111;2
211121;1
111122;2
111222;1
122212;2
122211;2
211211;2
112112;2
121122;2
112221;1
122211;2
222112;2
211111;2
111112;1
121111;2
211112;2
112212;2
122122;1
221221;2
221212;1
212121;1
121211;1
121111;2
111121;2
211121;1
111211;2
112112;2
121122;2
211222;2
122222;1
222221;2
222121;1
221211;1
212111;2
121112;2
111222;1
112221;1
122211;2
112111;2
121221;1
212211;2
122112;1
211211;2
121111;2
111121;2
111212;2
112122;1
121221;1
212211;2
221122;2
112221;1
122211;2
222112;2
221122;2
112220;1
112121;1
121211;1
211111;2
111112;1
111210;2
112111;2
121212;1
212121;1
121211;1
121111;2
211112;2
112212;2
122122;1
212220;2
111112;1
111211;2
211211;2
112112;2
121122;2
211222;2
112222;1
122221;1
222211;2
222112;2
221122;2
211111;2
111112;1
111211;2
221222;2
212222;2
222221;2
222212;2
221222;2
212222;2
122222;1
222221;2
221212;1
212121;1
121211;1
212111;2
121112;2
112222;1
122221;1
111121;2
111212;2
112122;1
221212;1
212121;1
121211;1
121111;2
211112;2
221212;1
121220;1
212222;2
122222;1
222221;2
222212;2
112221;1
122211;2
211211;2
112112;2
121122;2
211222;2
222222;2
222221;2
211211;2
112112;2
121122;2
211222;2
112222;1
222212;2
212221;2
222121;1
211111;2
111221;1
112211;2
211220;2
211211;2
121121;2
222212;2
221222;2
212222;2
122222;1
222221;2
211111;2
111112;1
111121;2
111212;2
121222;1
122210;2
212212;2
122121;1
221211;1
212111;2
111212;2
122221;1
222211;2
222112;2
211222;2
122222;1
222111;2
211122;1
122121;1
122220;1
222222;2
222221;2
222121;1
212112;2
211221;2
112212;2
111221;1
112211;2
221122;2
112221;1
122211;2
122222;1
121122;2
222211;2
222112;2
221122;2
122212;2
221222;2
122221;1
112111;2
212222;2
222221;2
222121;1
221211;1
212111;2
121112;2
111222;1
112221;1
222111;2
221112;1
212122;1
212212;2
111122;2
111222;1
112221;1
122211;2
211211;2
112112;2
121122;2
112220;1
122222;1
222221;2
212122;1
212212;2
122122;1
212211;2
211220;2
211122;1
112212;2
122122;1
221221;2
212212;2
122122;1
122111;1
221111;1
211111;2
111122;2
111222;1
222121;1
121121;2
211212;2
221112;1
211121;1
111221;1
122111;1
221111;1
211111;2
111221;1
122111;1
221111;1
211111;2
111112;1
111121;2
111212;2
122221;1
222211;2
222112;2
221122;2
112221;1
122211;2
211211;2
222210;2
211112;2
111122;2
112222;1
122221;1
221111;1
211111;2
111112;1
111211;2
211211;2
121121;2
112121;1
211211;2
121120;2
211221;2
221210;1
111211;2
112111;2
112121;1
121211;1
212111;2
112121;1
121211;1
211111;2
111112;1
111121;2
112121;1
121111;2
111120;2
222221;2
212222;2
122222;1
222221;2
221212;1
212121;1
212110;2
211122;1
122121;1
221211;1
111110;1
111110;1
211121;1
211111;2
111122;2
112222;1
222212;2
122211;2
221121;2
211212;2
112122;1
122121;1
221211;1
121111;2
211112;2
111122;2
112222;1
122221;1
211112;2
111122;2
112220;1
111211;2
112112;2
121122;2
212222;2
122222;1
222211;2
222112;2
211221;2
112212;2
212220;2
212122;1
212212;2
122122;1
212211;2
122112;1
121111;2
211112;2
111221;1
112211;2
221122;2
112221;1
122211;2
221120;2
212122;1
121221;1
122111;1
211211;2
211211;2
112112;2
211221;2
122121;1
121121;2
121222;1
212221;2
222121;1
111221;1
112211;2
221120;2
211121;1
121111;2
211112;2
111122;2
111222;1
122210;2
211222;2
112222;1
122221;1
221111;1
211111;2
111112;1
111121;2
111212;2
222121;1
121121;2
112120;1
121110;2
221211;1
212111;2
211121;1
112111;2
211121;1
112111;2
211121;1
121110;2
212121;1
211210;2
221111;1
111111;1
111111;1
111122;2
122222;1
222110;2
112212;2
122122;1
221221;2
221212;1
212122;1
122121;1
211211;2
112112;2
211221;2
221212;1
212121;1
121211;1
212111;2
121112;2
111222;1
122212;2
222122;1
211122;1
121222;1
212221;2
122212;2
221222;2
122221;1
222211;2
222112;2
211220;2
211222;2
122222;1
222210;2
221111;1
111112;1
111121;2
111212;2
212222;2
122222;1
222221;2
222121;1
221211;1
211111;2
111221;1
122110;1
111222;1
112112;2
211122;1
112212;2
122122;1
221221;2
122121;1
212112;2
121122;2
211222;2
112222;1
222212;2
222122;1
221221;2
212212;2
221222;2
212222;2
222222;2
111121;2
121212;1
212121;1
121211;1
121110;2
222211;2
211211;2
121121;2
112121;1
212112;2
212221;2
221212;1
212121;1
121211;1
121111;2
211112;2
111122;2
112222;1
122221;1
221111;1
111111;1
111111;1
111111;1
111111;1
111111;1
111111;1
111221;1
122110;1
111111;1
111112;1
111121;2
111212;2
121222;1
212221;2
122212;2
222111;2
221112;1
111212;2
112122;1
121221;1
212211;2
221120;2
222221;2
222212;2
222122;1
221221;2
122211;2
222112;2
221122;2
211222;2
112222;1
222212;2
222122;1
221221;2
111111;1
111111;1
111111;1
111111;1
111112;1
111211;2
121120;2
211112;2
112212;2
122122;1
212211;2
211221;2
111222;1
222121;1
221211;1
212111;2
221111;1
211111;2
111112;1
112111;2
121112;2
111222;1
112221;1
122211;2
222112;2
221122;2
112221;1
221111;1
211111;2
122122;1
212210;2
221212;1
212121;1
212112;2
211221;2
112212;2
221222;2
222212;2
222122;1
122111;1
211112;2
111122;2
112222;1
212122;1
221210;1
221222;2
212222;2
222210;2
112121;1
211211;2
211211;2
112112;2
121122;2
222121;1
221211;1
212111;2
121112;2
211122;1
122121;1
212112;2
121122;2
122212;2
221222;2
222212;2
222122;1
112211;2
122112;1
211211;2
121121;2
112121;1
121211;1
121111;2
111121;2
111212;2
112122;1
121221;1
212211;2
122112;1
221121;2
112121;1
212112;2
121122;2
211222;2
222221;2
222212;2
222122;1
221221;2
212212;2
221222;2
222212;2
222122;1
221221;2
122121;1
111112;1
112111;2
211121;1
121111;2
111211;2
112112;2
121122;2
211222;2
222222;2
222211;2
121111;2
211112;2
212122;1
121221;1
221112;1
111111;1
111111;1
212111;2
121112;2
111222;1
111212;2
112122;1
121221;1
212211;2
122112;1
221121;2
211212;2
212222;2
222222;2
221111;1
221222;2
222120;1
122122;1
221112;1
111212;2
112122;1
212212;2
221222;2
222212;2
221222;2
122221;1
111121;2
112121;1
212112;2
121122;2
221212;1
212121;1
212112;2
211221;2
122121;1
112121;1
121211;1
121111;2
111212;2
112122;1
212122;1
121221;1
212211;2
221122;2
211222;2
112222;1
221212;1
212121;1
121211;1
212111;2
121112;2
211122;1
122121;1
211211;2
121121;2
211212;2
212222;2
222220;2
111112;1
111121;2
112121;1
121211;1
121111;2
211112;2
111221;1
112222;1
222121;1
212112;2
121122;2
222121;1
212110;2
221122;2
222121;1
212112;2
211221;2
122121;1
221211;1
212111;2
112120;1
222121;1
212112;2
121122;2
112220;1
122112;1
221121;2
121210;1
221111;1
211111;2
111112;1
112110;2
111110;1
111122;2
111222;1
212210;2
221222;2
222212;2
221222;2
222212;2
221222;2
212222;2
122222;1
222221;2
222212;2
212220;2
221111;1
211111;2
111122;2
122220;1
112220;1
111112;1
111211;2
112112;2
211221;2
112212;2
122122;1
221221;2
212212;2
212221;2
121222;1
222110;2
111222;1
112221;1
221111;1
222111;2
221112;1
211121;1
121111;2
211112;2
111221;1
112211;2
221122;2
211222;2
112222;1
122221;1
222211;2
222112;2
221122;2
112221;1
211112;2
111221;1
221112;1
112121;1
211211;2
121121;2
112121;1
211211;2
121121;2
122221;1
222111;2
221121;2
112120;1
222211;2
221121;2
112121;1
211210;2
111211;2
112112;2
211110;2
222121;1
211211;2
112112;2
121122;2
211222;2
122222;1
222212;2
212220;2
222111;2
221112;1
121212;1
121212;1
212122;1
121221;1
221112;1
111212;2
112122;1
112211;2
221122;2
211222;2
112222;1
122221;1
222211;2
112111;2
221110;1
211211;2
112112;2
121122;2
112221;1
122122;1
221221;2
122120;1
112121;1
121211;1
121110;2
212111;2
111212;2
121222;1
122211;2
222112;2
221122;2
211222;2
222221;2
221212;1
221121;2
112121;1
212112;2
121122;2
211222;2
222222;2
222222;2
222111;2
211122;1
111221;1
112211;2
211221;2
112212;2
212221;2
122212;2
222122;1
221221;2
212212;2
221220;2
112221;1
222111;2
221112;1
211121;1
121222;1
122211;2
112111;2
121112;2
111222;1
222121;1
121120;2
221111;1
211111;2
122121;1
212112;2
212222;2
122222;1
222210;2
212120;1
111111;1
111111;1
111111;1
112121;1
121211;1
121111;2
211112;2
211112;2
111122;2
111222;1
122212;2
212221;2
222121;1
121121;2
112121;1
121121;2
121212;1
212122;1
212212;2
122111;1
211112;2
111122;2
111222;1
112221;1
122211;2
221121;2
112121;1
211211;2
121212;1
212121;1
212110;2
121111;2
111112;1
111211;2
121120;2
122121;1
121121;2
112121;1
121121;2
212122;1
121221;1
212211;2
122111;1
211112;2
111122;2
111222;1
112221;1
122211;2
221121;2
211212;2
112122;1
122120;1
122112;1
221121;2
112121;1
121211;1
121111;2
111121;2
121212;1
121212;1
112211;2
211221;2
112212;2
221222;2
212222;2
122222;1
222221;2
222212;2
222122;1
221221;2
221212;1
212121;1
212222;2
221111;1
121121;2
211212;2
212222;2
222212;2
222122;1
121220;1
112212;2
122122;1
211122;1
111221;1
112211;2
122112;1
221121;2
211212;2
112122;1
121221;1
212211;2
211221;2
122121;1
212112;2
122111;1
111121;2
121212;1
212121;1
121121;2
211212;2
112122;1
121221;1
212211;2
221122;2
211222;2
112222;1
222121;1
212112;2
211221;2
112212;2
221222;2
212222;2
222222;2
222222;2
222221;2
211110;2
221222;2
212222;2
122222;1
222221;2
222212;2
222122;1
122111;1
211112;2
111122;2
111222;1
112221;1
122211;2
222112;2
111222;1
222121;1
121121;2
211212;2
222111;2
111222;1
122212;2
222122;1
221221;2
212212;2
122122;1
212210;2
221112;1
211121;1
111211;2
112112;2
122111;1
211110;2
222212;2
212221;2
212222;2
122222;1
222211;2
211211;2
121121;2
211212;2
121222;1
212221;2
122212;2
212221;2
221212;1
121212;1
121212;1
212121;1
121211;1
212111;2
121112;2
211122;1
121222;1
212221;2
221212;1
212121;1
212112;2
211221;2
112212;2
111122;2
222220;2
221212;1
121212;1
212121;1
121211;1
212111;2
112121;1
121120;2
211122;1
212122;1
121221;1
122111;1
221111;1
211111;2
111112;1
111121;2
111212;2
112122;1
212210;2
112111;2
121112;2
211122;1
112212;2
221222;2
222120;1
122112;1
112110;2
211111;2
111122;2
122220;1
212212;2
122122;1
212211;2
121220;1
121121;2
211212;2
112122;1
122120;1
211111;2
111122;2
211112;2
122121;1
121110;2
212111;2
121112;2
111222;1
121211;1
211111;2
111112;1
112111;2
111210;2
222221;2
212122;1
121220;1
112211;2
122112;1
221121;2
121222;1
222111;2
221112;1
112121;1
121121;2
112121;1
121211;1
212111;2
121112;2
211122;1
111221;1
112211;2
221122;2
211222;2
112222;1
221210;1
112122;1
122121;1
221211;1
121111;2
121111;2
112111;2
212220;2
211111;2
111122;2
212222;2
122222;1
222221;2
221212;1
121212;1
212121;1
121211;1
211111;2
211121;1
111211;2
111122;2
122211;2
211211;2
111110;1
221111;1
211111;2
111221;1
122111;1
221111;1
111111;1
111111;1
111111;1
111111;1
111112;1
121111;2
211112;2
221112;1
112121;1
121211;1
212111;2
211121;1
211121;1
112111;2
111212;2
212222;2
222222;2
222221;2
221212;1
212121;1
121211;1
212111;2
121112;2
211122;1
111221;1
121111;2
111120;2
211210;2
221112;1
211121;1
111112;1
111211;2
121121;2
111112;1
111121;2
121212;1
212121;1
222120;1
212211;2
122112;1
221121;2
112121;1
121211;1
111111;1
111111;1
111112;1
111211;2
211211;2
211210;2
211121;1
111211;2
112112;2
121222;1
212221;2
222121;1
111110;1
111222;1
122212;2
221222;2
212222;2
122222;1
222211;2
221121;2
121212;1
212121;1
211210;2
122212;2
222110;2
221222;2
222212;2
221222;2
212222;2
222222;2
222222;2
122121;1
221211;1
211111;2
111112;1
111121;2
121212;1
121212;1
212122;1
212212;2
221222;2
222212;2
111121;2
111212;2
112122;1
212212;2
122122;1
212211;2
122112;1
121110;2
121121;2
211212;2
212222;2
222210;2
221212;1
212121;1
212110;2
212122;1
121221;1
122111;1
211112;2
111122;2
122222;1
221111;1
212211;2
122112;1
211110;2
211110;2
222211;2
221121;2
211212;2
211112;2
111122;2
121122;2
221212;1
212122;1
121221;1
212211;2
221122;2
222121;1
221211;1
212111;2
112121;1
121211;1
212111;2
121112;2
222112;2
221122;2
221212;1
212121;1
212112;2
121122;2
122212;2
212220;2
112112;2
121122;2
112221;1
122211;2
222112;2
221112;1
112121;1
121211;1
212111;2
121112;2
211122;1
111221;1
112211;2
122112;1
121111;2
112111;2
121222;1
222110;2
122221;1
222211;2
222112;2
221122;2
122212;2
222122;1
122111;1
111121;2
111212;2
112122;1
122121;1
221211;1
212111;2
211121;1
111211;2
121121;2
211212;2
121222;1
111121;2
212122;1
122121;1
212112;2
121122;2
122212;2
221222;2
212222;2
122222;1
222221;2
222212;2
222122;1
121122;2
211222;2
112222;1
222212;2
222122;1
221221;2
212122;1
121221;1
122111;1
221111;1
211111;2
121221;1
122111;1
111121;2
111212;2
112122;1
122221;1
222211;2
112111;2
121112;2
211122;1
111221;1
112211;2
122112;1
211220;2
122211;2
222112;2
112211;2
221120;2
121111;2
111121;2
112121;1
221112;1
111212;2
112122;1
121221;1
211211;2
112112;2
121122;2
211222;2
112222;1
212122;1
121221;1
212211;2
211221;2
122121;1
221211;1
211111;2
111122;2
122222;1
222221;2
222121;1
221211;1
212111;2
111212;2
212222;2
112212;2
122122;1
122221;1
222111;2
221212;1
212121;1
211210;2
122111;1
211112;2
111220;1
122211;2
221121;2
111222;1
221212;1
211112;2
111221;1
221112;1
111212;2
112122;1
221210;1
121112;2
111220;1
212222;2
122222;1
222221;2
222212;2
222122;1
212211;2
122222;1
222221;2
222212;2
221222;2
222212;2
221222;2
212222;2
222221;2
222121;1
212112;2
211221;2
122221;1
222111;2
211122;1
112212;2
122122;1
212211;2
122112;1
211211;2
212222;2
122222;1
222211;2
211211;2
222211;2
222112;2
122111;1
221111;1
111111;1
111111;1
111111;1
111111;1
121221;1
212211;2
221122;2
211222;2
112222;1
222212;2
212221;2
122212;2
222122;1
221221;2
212212;2
212220;2
112221;1
211111;2
111112;1
111121;2
121212;1
212121;1
121121;2
211212;2
112122;1
212212;2
122122;1
221221;2
122121;1
221211;1
212111;2
212222;2
222222;2
222221;2
222212;2
122120;1
222111;2
221112;1
112121;1
121211;1
121111;2
211112;2
111122;2
111222;1
112221;1
122211;2
222211;2
222112;2
211221;2
122121;1
221211;1
212111;2
211121;1
121111;2
111211;2
112112;2
211221;2
221212;1
212121;1
121121;2
121212;1
221121;2
112121;1
121211;1
211111;2
111112;1
111121;2
111212;2
112122;1
122221;1
222211;2
211111;2
111112;1
111111;1
111122;2
222221;2
222121;1
221211;1
212111;2
121112;2
211122;1
211212;2
212222;2
122222;1
222221;2
222212;2
221222;2
212222;2
122222;1
211112;2
111220;1
212212;2
212220;2
122111;1
221111;1
211111;2
111112;1
121111;2
111121;2
111212;2
112122;1
121221;1
212211;2
122112;1
221121;2
112121;1
121211;1
212111;2
121112;2
112222;1
122221;1
211111;2
111122;2
122222;1
222211;2
222112;2
112211;2
221122;2
211222;2
112222;1
122221;1
112111;2
121112;2
112222;1
212122;1
121221;1
221112;1
211121;1
111211;2
111111;1
111112;1
111121;2
211111;2
111112;1
111121;2
121212;1
212121;1
212112;2
211221;2
221212;1
212120;1
212122;1
121221;1
212211;2
122112;1
211211;2
121121;2
112121;1
121121;2
121222;1
111121;2
111212;2
112122;1
211121;1
111112;1
111121;2
111212;2
212222;2
122222;1
222210;2
222211;2
122212;2
222122;1
212211;2
122112;1
221121;2
211212;2
121222;1
212221;2
122212;2
222122;1
212211;2
122112;1
112111;2
211121;1
111211;2
121121;2
121212;1
212121;1
122111;1
211112;2
212122;1
121221;1
122110;1
112211;2
221122;2
211222;2
112222;1
222212;2
222122;1
211122;1
112212;2
122122;1
122111;1
221111;1
111122;2
112222;1
122221;1
211110;2
211212;2
112122;1
221212;1
212122;1
212210;2
211111;2
111112;1
111121;2
121222;1
122211;2
222112;2
211221;2
122121;1
221211;1
212111;2
121112;2
211122;1
111221;1
112211;2
221122;2
211222;2
112222;1
222121;1
221211;1
121111;2
211112;2
111221;1
122110;1
211221;2
112212;2
221222;2
122220;1
221112;1
211121;1
111211;2
121121;2
112121;1
112111;2
211121;1
111211;2
112112;2
112211;2
122112;1
112111;2
211121;1
112111;2
111221;1
111222;1
211110;2
111211;2
112112;2
112211;2
221122;2
122212;2
221222;2
212222;2
222110;2
211120;1
121120;2
211111;2
111112;1
111121;2
112121;1
121220;1
212122;1
121221;1
212211;2
122221;1
212121;1
121211;1
212111;2
211121;1
121222;1
122211;2
221120;2
212211;2
122111;1
111211;2
112112;2
121122;2
211222;2
112222;1
122221;1
221111;1
211111;2
111122;2
112222;1
122221;1
222111;2
221112;1
222112;2
211221;2
112212;2
122211;2
222112;2
221122;2
211222;2
222121;1
121121;2
112121;1
212112;2
121122;2
211222;2
222211;2
222112;2
221122;2
112221;1
221111;1
111111;1
111112;1
111211;2
112112;2
121122;2
122212;2
222121;1
221211;1
212111;2
121112;2
111222;1
112221;1
122211;2
222112;2
211220;2
221220;2
212121;1
212112;2
121122;2
112220;1
221221;2
221212;1
121222;1
222111;2
221112;1
211121;1
112111;2
121112;2
111222;1
112221;1
122211;2
222112;2
112211;2
122112;1
221121;2
121210;1
112110;2
222211;2
222112;2
221122;2
112121;1
121211;1
121111;2
111211;2
122212;2
221111;1
111120;2
221122;2
211222;2
211221;2
222210;2
122111;1
111121;2
112121;1
121211;1
212111;2
121112;2
122222;1
222221;2
222212;2
222122;1
221112;1
212122;1
212212;2
122122;1
221221;2
212212;2
122122;1
212211;2
122111;1
221111;1
211111;2
111122;2
111222;1
211112;2
111221;1
122111;1
221111;1
211111;2
122121;1
221211;1
211111;2
111122;2
111222;1
122210;2
212222;2
122222;1
222221;2
222121;1
121111;2
112111;2
211121;1
112121;1
212112;2
121122;2
211222;2
112222;1
222120;1
122221;1
221111;1
111110;1
112211;2
122112;1
122211;2
222112;2
112211;2
122111;1
221111;1
111112;1
111121;2
121212;1
212121;1
212112;2
121122;2
112221;1
122211;2
211211;2
121121;2
112120;1
111221;1
112211;2
122112;1
112111;2
211121;1
111211;2
112112;2
211221;2
221212;1
212121;1
212112;2
121122;2
211222;2
222222;2
222222;2
222221;2
221210;1
222222;2
112120;1
222121;1
121121;2
211212;2
222121;1
121111;2
211112;2
111221;1
112211;2
121222;1
212221;2
121222;1
122211;2
222112;2
221122;2
211222;2
112222;1
222210;2
222121;1
221211;1
212111;2
121112;2
211122;1
111221;1
112211;2
211221;2
112212;2
122122;1
221221;2
212212;2
122122;1
221221;2
122121;1
121121;2
122110;1
222222;2
222221;2
222121;1
212112;2
211221;2
221212;1
222212;2
222122;1
221112;1
212122;1
121221;1
122111;1
221111;1
211111;2
111112;1
111211;2
112111;2
121210;1
121121;2
211212;2
112122;1
121222;1
212221;2
122212;2
221222;2
122221;1
222211;2
222112;2
221122;2
112221;1
211112;2
111122;2
221122;2
122212;2
222122;1
221221;2
122121;1
221211;1
121111;2
211112;2
111122;2
112222;1
221212;1
121212;1
212121;1
121121;2
112121;1
112111;2
111212;2
121222;1
212221;2
222120;1
111122;2
112222;1
122221;1
222211;2
221121;2
112121;1
212110;2
211222;2
112222;1
122221;1
